delivery_id,po_id,supplier_id,site_id,delivery_date,on_time_flag,quantity_fulfilled_pct,quality_issue_flag,transport_issue_flag,documentation_issue_flag
D000001,PO000001,S0064,SITE_11,2026-02-09,1,0.925,0,0,0
D000002,PO000002,S0049,SITE_05,2026-01-11,1,0.901,0,0,0
D000003,PO000003,S0111,SITE_08,2026-03-05,1,0.944,0,0,0
D000004,PO000004,S0111,SITE_11,2025-10-30,1,0.958,0,0,0
D000005,PO000005,S0016,SITE_05,2026-03-03,1,0.936,0,0,0
D000006,PO000006,S0011,SITE_09,2026-04-12,1,0.93,0,0,0
D000007,PO000007,S0091,SITE_08,2025-11-28,0,1.0,0,0,0
D000008,PO000008,S0071,SITE_07,2026-02-28,1,0.936,0,0,0
D000009,PO000009,S0049,SITE_04,2026-02-25,1,0.949,0,0,0
D000010,PO000010,S0080,SITE_10,2025-12-02,1,0.883,1,0,1
D000011,PO000011,S0016,SITE_09,2025-12-04,1,0.924,0,0,0
D000012,PO000012,S0087,SITE_12,2026-01-31,0,1.0,0,0,0
D000013,PO000013,S0022,SITE_12,2026-04-03,0,0.883,0,0,0
D000014,PO000014,S0098,SITE_03,2026-01-14,1,0.916,0,0,0
D000015,PO000015,S0013,SITE_06,2026-02-27,0,0.813,0,0,0
D000016,PO000016,S0027,SITE_08,2026-03-26,1,0.895,0,0,0
D000017,PO000017,S0084,SITE_10,2026-02-03,1,0.981,0,0,0
D000018,PO000018,S0106,SITE_12,2025-12-12,1,0.906,0,0,0
D000019,PO000019,S0033,SITE_07,2025-11-28,1,0.997,0,0,0
D000020,PO000020,S0004,SITE_07,2025-11-19,0,0.964,0,0,0
D000021,PO000021,S0045,SITE_09,2026-03-19,1,0.948,0,0,0
D000022,PO000022,S0021,SITE_06,2025-11-25,1,1.0,0,0,0
D000023,PO000023,S0028,SITE_01,2025-11-06,1,0.973,0,0,0
D000024,PO000024,S0008,SITE_11,2025-12-11,1,0.959,0,0,0
D000025,PO000025,S0040,SITE_10,2025-12-06,0,0.919,0,0,0
D000026,PO000026,S0116,SITE_02,2026-03-06,0,1.0,0,0,0
D000027,PO000027,S0079,SITE_03,2026-01-19,0,1.0,1,0,0
D000028,PO000028,S0079,SITE_12,2025-12-16,1,0.818,1,1,0
D000029,PO000029,S0112,SITE_08,2025-12-26,1,0.902,0,0,0
