record_id,site_id,material_category,week,opening_stock,closing_stock,stockout_flag,days_below_threshold,emergency_replenishment_flag
INV-SITE_01-EXP-20251103,SITE_01,Explosives,2025-11-03,215.0,110.13,0,0,0
INV-SITE_01-EXP-20251110,SITE_01,Explosives,2025-11-10,110.13,129.34,0,0,0
INV-SITE_01-EXP-20251117,SITE_01,Explosives,2025-11-17,129.34,104.07,0,0,0
INV-SITE_01-EXP-20251124,SITE_01,Explosives,2025-11-24,104.07,101.24,0,0,0
INV-SITE_01-EXP-20251201,SITE_01,Explosives,2025-12-01,101.24,45.6,0,0,0
INV-SITE_01-EXP-20251208,SITE_01,Explosives,2025-12-08,45.6,38.39,0,0,0
INV-SITE_01-EXP-20251215,SITE_01,Explosives,2025-12-15,38.39,2.04,1,7,1
INV-SITE_01-EXP-20251222,SITE_01,Explosives,2025-12-22,16.41,25.05,0,4,0
INV-SITE_01-EXP-20251229,SITE_01,Explosives,2025-12-29,25.05,11.42,0,7,1
INV-SITE_01-EXP-20260105,SITE_01,Explosives,2026-01-05,30.07,0.0,1,7,1
INV-SITE_01-EXP-20260112,SITE_01,Explosives,2026-01-12,19.04,27.39,0,3,1
INV-SITE_01-EXP-20260119,SITE_01,Explosives,2026-01-19,54.77,28.91,0,2,1
INV-SITE_01-EXP-20260126,SITE_01,Explosives,2026-01-26,53.93,24.89,0,4,1
INV-SITE_01-EXP-20260202,SITE_01,Explosives,2026-02-02,39.16,34.8,0,0,0
INV-SITE_01-EXP-20260209,SITE_01,Explosives,2026-02-09,34.8,58.44,0,0,0
INV-SITE_01-EXP-20260216,SITE_01,Explosives,2026-02-16,58.44,10.41,0,7,1
INV-SITE_01-EXP-20260223,SITE_01,Explosives,2026-02-23,47.01,7.64,0,7,1
INV-SITE_01-EXP-20260302,SITE_01,Explosives,2026-03-02,32.38,2.54,0,7,1
INV-SITE_01-EXP-20260309,SITE_01,Explosives,2026-03-09,18.39,29.87,0,2,1
INV-SITE_01-EXP-20260316,SITE_01,Explosives,2026-03-16,61.38,85.63,0,0,0
INV-SITE_01-EXP-20260323,SITE_01,Explosives,2026-03-23,85.63,47.51,0,0,0
INV-SITE_01-EXP-20260330,SITE_01,Explosives,2026-03-30,47.51,29.19,0,2,1
INV-SITE_01-DIE-20251103,SITE_01,Diesel,2025-11-03,197.0,173.0,0,0,0
INV-SITE_01-DIE-20251110,SITE_01,Diesel,2025-11-10,173.0,145.93,0,0,0
INV-SITE_01-DIE-20251117,SITE_01,Diesel,2025-11-17,145.93,72.98,0,0,0
INV-SITE_01-DIE-20251124,SITE_01,Diesel,2025-11-24,72.98,29.79,0,5,1
INV-SITE_01-DIE-20251201,SITE_01,Diesel,2025-12-01,51.33,59.75,0,0,0
INV-SITE_01-DIE-20251208,SITE_01,Diesel,2025-12-08,59.75,79.29,0,0,0
INV-SITE_01-DIE-20251215,SITE_01,Diesel,2025-12-15,79.29,83.0,0,0,0
INV-SITE_01-DIE-20251222,SITE_01,Diesel,2025-12-22,83.0,22.68,0,7,0
INV-SITE_01-DIE-20251229,SITE_01,Diesel,2025-12-29,22.68,0.0,1,7,1
INV-SITE_01-DIE-20260105,SITE_01,Diesel,2026-01-05,36.11,0.0,1,7,1
INV-SITE_01-DIE-20260112,SITE_01,Diesel,2026-01-12,22.95,0.0,1,7,1
INV-SITE_01-DIE-20260119,SITE_01,Diesel,2026-01-19,32.7,15.22,0,7,1
INV-SITE_01-DIE-20260126,SITE_01,Diesel,2026-01-26,47.53,0.0,1,7,1
INV-SITE_01-DIE-20260202,SITE_01,Diesel,2026-02-02,31.65,8.79,0,7,1
INV-SITE_01-DIE-20260209,SITE_01,Diesel,2026-02-09,41.18,0.0,1,7,1
INV-SITE_01-DIE-20260216,SITE_01,Diesel,2026-02-16,36.02,30.88,0,4,0
INV-SITE_01-DIE-20260223,SITE_01,Diesel,2026-02-23,30.88,0.0,1,7,1
INV-SITE_01-DIE-20260302,SITE_01,Diesel,2026-03-02,25.65,0.0,1,7,1
INV-SITE_01-DIE-20260309,SITE_01,Diesel,2026-03-09,15.0,0.0,1,7,1
INV-SITE_01-DIE-20260316,SITE_01,Diesel,2026-03-16,22.92,0.0,1,7,1
